
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.95              0.60              1.32        1000
16                      0.99              0.58              1.31        1000
32                      1.00              0.52              1.34        1000
64                      1.01              0.53              1.33        1000
128                     1.08              0.55              1.37        1000
256                     1.14              0.63              1.50        1000
512                     1.46              0.84              2.07        1000
1024                    2.13              1.04              2.59        1000
2048                    4.54              1.21              6.09        1000
4096                    6.95              1.77              9.66        1000
8192                   10.70              2.88             14.99        1000
16384                  20.15              7.70             28.21         100
32768                  40.28             21.28             55.12         100
65536                  99.19             89.19            109.06         100
131072                208.26            198.47            216.67         100
262144                427.59            417.16            436.43         100
524288               1076.59            996.99           1141.34         100
1048576               927.16            853.20           1054.45         100
2097152              1446.93           1310.91           1658.44         100
4194304              2913.18           2645.13           3277.48         100
8388608              8990.50           8864.82           9138.91         100
16777216            17727.96          17520.12          17972.60         100
33554432            35099.14          34562.96          35555.76         100
67108864            69721.40          68811.09          70418.75         100
