
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.68
16                     19.64
32                     19.68
64                     19.98
128                    19.87
256                    21.08
512                    22.17
1024                   25.79
2048                   32.59
4096                   40.50
8192                   43.22
16384                  53.74
32768                  85.17
65536                  90.94
131072                149.14
262144                293.15
524288                531.83
1048576              1008.65
2097152              3218.76
4194304             13547.80
8388608             36833.13
16777216            72320.16
33554432           135733.23
67108864           260000.03
