
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      30.70
16                     28.02
32                     27.74
64                     27.28
128                    27.23
256                    28.23
512                    33.19
1024                   39.28
2048                   57.64
4096                   66.47
8192                   81.02
16384                 108.94
32768                 195.91
65536                 354.23
131072                655.40
262144               1259.51
524288               2480.02
1048576              5829.66
2097152             14361.40
4194304             29917.81
8388608             59701.47
16777216           106585.03
33554432           193947.10
67108864           369796.06
