
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      31.90
16                     28.60
32                     27.83
64                     27.98
128                    28.48
256                    30.56
512                    34.32
1024                   41.35
2048                   63.10
4096                   73.73
8192                   87.51
16384                 130.53
32768                 220.31
65536                 401.10
131072                756.60
262144               1474.00
524288               3133.77
1048576              7118.89
2097152             16947.13
4194304             30766.67
8388608             61439.76
16777216           107869.96
33554432           198777.96
67108864           384402.60
