
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      31.74
16                     29.08
32                     28.49
64                     27.63
128                    27.81
256                    28.40
512                    32.96
1024                   40.65
2048                   62.82
4096                   69.27
8192                   86.90
16384                 121.19
32768                 217.51
65536                 396.07
131072                745.18
262144               1442.24
524288               2956.72
1048576              6942.72
2097152             16836.43
4194304             32218.68
8388608             64176.37
16777216           114781.85
33554432           208678.47
67108864           404732.32
