
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.56
16                      5.87
32                      5.85
64                      5.93
128                     6.95
256                     7.53
512                    11.40
1024                   16.37
2048                   22.83
4096                   33.90
8192                   60.74
16384                 133.71
32768                 272.42
65536                 525.55
131072               1102.63
262144               2151.28
524288               4064.41
1048576              8095.39
2097152             18868.37
4194304             37256.80
8388608             74390.76
16777216           151541.93
33554432           306802.97
67108864           614924.52
