
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.68
16                      4.71
32                      4.81
64                      4.98
128                     5.62
256                     5.99
512                     9.20
1024                   14.34
2048                   22.32
4096                   36.70
8192                   68.65
16384                 140.83
32768                 286.02
65536                 573.56
131072               1157.15
262144               2331.23
524288               4618.83
1048576              8903.46
2097152             19596.90
4194304             39505.42
8388608             77940.27
16777216           155965.18
33554432           311820.62
67108864           623928.39
