
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       6.49
16                      5.83
32                      5.66
64                      5.87
128                     6.92
256                     8.75
512                    11.81
1024                   15.95
2048                   30.52
4096                   55.79
8192                   95.65
16384                 206.99
32768                 325.08
65536                 578.68
131072               1089.09
262144               2789.53
524288               6182.63
1048576             13389.15
2097152             26549.99
4194304             54441.62
8388608            109653.10
16777216           229171.02
33554432           451134.14
67108864           854793.43
