
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.65
16                      4.86
32                      4.92
64                      4.87
128                     5.53
256                     6.38
512                    10.18
1024                   14.05
2048                   21.47
4096                   36.74
8192                   69.17
16384                 140.82
32768                 284.44
65536                 570.68
131072               1157.51
262144               2273.84
524288               4452.98
1048576              8918.15
2097152             19597.60
4194304             40065.02
8388608             79973.43
16777216           159906.09
33554432           319600.46
67108864           640590.82
