
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      35.64
16                     32.23
32                     30.06
64                     29.42
128                    29.74
256                    31.25
512                    37.09
1024                   48.85
2048                   74.44
4096                   77.27
8192                   96.21
16384                 136.21
32768                 246.98
65536                 448.97
131072                859.24
262144               1656.06
524288               3238.74
1048576              7373.21
2097152             17163.23
4194304             35078.49
8388608             69616.63
16777216           122667.60
33554432           227810.96
67108864           438791.80
