
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      30.69
16                     28.27
32                     27.74
64                     28.01
128                    27.69
256                    28.87
512                    32.68
1024                   39.95
2048                   61.23
4096                   67.92
8192                   83.89
16384                 114.10
32768                 207.96
65536                 371.65
131072                691.21
262144               1354.06
524288               2647.30
1048576              6177.39
2097152             14335.92
4194304             28434.15
8388608             55648.26
16777216            98670.12
33554432           180726.46
67108864           342567.65
