
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.53
16                      5.21
32                      4.84
64                      5.33
128                     5.60
256                     6.55
512                     8.85
1024                   13.68
2048                   20.87
4096                   36.26
8192                   68.26
16384                 139.58
32768                 283.28
65536                 569.19
131072               1149.80
262144               2334.48
524288               4493.10
1048576              8940.72
2097152             18895.97
4194304             38328.52
8388608             76283.15
16777216           152781.31
33554432           305503.91
67108864           610662.96
