
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      32.89
16                     30.63
32                     30.16
64                     30.60
128                    29.46
256                    30.59
512                    36.67
1024                   52.15
2048                   78.48
4096                   79.17
8192                   97.47
16384                 140.94
32768                 269.43
65536                 508.71
131072                974.51
262144               1926.91
524288               3845.30
1048576              9226.73
2097152             21044.19
4194304             37161.42
8388608             71549.11
16777216           126013.21
33554432           230744.91
67108864           446467.63
