
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.65
16                      5.10
32                      4.76
64                      5.27
128                     5.64
256                     6.72
512                    10.17
1024                   14.39
2048                   21.15
4096                   36.31
8192                   68.26
16384                 139.91
32768                 282.82
65536                 569.30
131072               1158.38
262144               2287.39
524288               4511.68
1048576              8916.37
2097152             19394.90
4194304             39768.39
8388608             79542.79
16777216           158940.11
33554432           318335.71
67108864           636929.84
