
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.88
16                     20.81
32                     18.88
64                     20.55
128                    19.37
256                    21.36
512                    22.16
1024                   26.34
2048                   32.80
4096                   40.80
8192                   42.93
16384                  48.54
32768                  60.04
65536                  95.24
131072                147.74
262144                292.58
524288                537.64
1048576              1008.92
2097152              3197.90
4194304             13579.83
8388608             36731.79
16777216            72187.17
33554432           135719.06
67108864           260037.18
