
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.33
16                     19.61
32                     19.04
64                     19.14
128                    18.94
256                    19.82
512                    22.58
1024                   26.01
2048                   33.52
4096                   40.71
8192                   42.57
16384                  47.73
32768                  60.93
65536                  89.30
131072                148.41
262144                299.83
524288                541.12
1048576               995.67
2097152              3166.77
4194304             13561.58
8388608             36804.76
16777216            72026.55
33554432           135954.64
67108864           260186.32
