
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      33.23             29.71             34.59        1000
16                     32.78             29.22             34.04        1000
32                     32.80             29.22             34.10        1000
64                     32.79             29.19             34.10        1000
128                    32.97             29.30             34.31        1000
256                    35.64             34.41             37.30        1000
512                    36.31             34.83             38.20        1000
1024                   58.50             55.69             63.99        1000
2048                   62.87             60.86             64.93        1000
4096                  102.67            102.39            102.97        1000
8192                  103.39            102.83            104.22        1000
16384                 114.06            113.26            114.73         100
32768                 105.07            103.58            106.21         100
65536                 117.93            117.33            119.18         100
131072                 97.91             97.06             98.60         100
262144                 99.37             98.32            100.21         100
524288                102.95            102.29            103.59         100
1048576               109.80            109.09            110.44         100
2097152               124.49            123.67            125.28         100
4194304               151.45            150.47            152.45         100
8388608               205.41            204.68            206.22         100
16777216              409.67            408.89            410.79         100
33554432              833.48            832.41            834.60         100
67108864             1667.10           1666.34           1668.13         100
