
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      43.83             39.57             45.70        1000
16                     42.64             38.48             44.42        1000
32                     42.62             38.61             44.34        1000
64                     42.74             38.39             44.74        1000
128                    43.30             39.05             45.25        1000
256                    49.59             47.53             51.25        1000
512                    50.76             48.38             52.78        1000
1024                   74.80             69.55             81.97        1000
2048                   82.02             80.78             83.69        1000
4096                  126.86            123.53            130.08        1000
8192                  132.06            129.09            133.96        1000
16384                 140.30            137.06            142.76         100
32768                 142.01            137.57            146.11         100
65536                 158.40            153.31            162.80         100
131072                157.58            155.51            159.53         100
262144                165.39            163.50            166.61         100
524288                178.86            176.95            180.18         100
1048576               195.90            194.03            197.46         100
2097152               228.85            226.39            230.53         100
4194304               290.25            288.03            291.75         100
8388608               415.10            413.39            417.15         100
16777216              832.70            830.49            835.13         100
33554432             1678.62           1676.17           1680.84         100
67108864             3354.93           3353.14           3356.88         100
