
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     132.06             92.77            136.84        1000
16                    131.65             92.46            136.42        1000
32                    130.92             92.26            135.55        1000
64                    131.38             92.28            136.25        1000
128                   132.46             93.09            137.09        1000
256                   147.93            121.24            153.56        1000
512                   147.09            124.43            153.18        1000
1024                  157.86            139.17            172.28        1000
2048                  173.38            167.10            178.26        1000
4096                  172.55            165.10            178.49        1000
8192                  201.34            187.39            208.33        1000
16384                 241.16            227.96            248.85         100
32768                 246.77            236.05            254.45         100
65536                 260.14            248.28            269.48         100
131072                864.79            861.38            866.95         100
262144                855.44            849.81            858.17         100
524288                860.31            854.59            862.94         100
1048576               868.37            861.62            871.09         100
2097152               863.90            858.55            868.60         100
4194304               865.67            859.89            872.30         100
8388608               877.73            873.39            881.59         100
16777216             1749.91           1743.01           1752.85         100
33554432             3493.57           3485.60           3497.19         100
67108864             6946.65           6940.33           6949.31         100
