
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      32.63             29.07             33.83        1000
16                     33.03             29.46             34.22        1000
32                     33.12             29.65             34.31        1000
64                     33.18             29.56             34.41        1000
128                    33.22             29.61             34.45        1000
256                    35.68             34.18             37.36        1000
512                    36.59             34.95             38.47        1000
1024                   60.47             57.20             66.24        1000
2048                   59.30             57.60             60.90        1000
4096                  103.03            102.24            104.10        1000
8192                  104.75            102.80            107.02        1000
16384                 112.93            111.92            114.34         100
32768                 108.24            105.08            111.87         100
65536                 118.50            114.25            123.13         100
131072                 97.92             96.72             99.14         100
262144                 99.40             98.56            100.53         100
524288                102.35            101.17            103.47         100
1048576               109.03            108.11            110.25         100
2097152               123.28            122.53            124.07         100
4194304               151.28            150.44            152.20         100
8388608               205.14            204.24            206.08         100
16777216              408.07            407.44            409.09         100
33554432              829.56            828.55            830.82         100
67108864             1658.94           1658.00           1660.20         100
