
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     145.51            107.74            152.62        1000
16                    143.79            105.84            150.81        1000
32                    143.32            105.45            150.65        1000
64                    143.13            105.65            150.28        1000
128                   144.75            106.82            152.01        1000
256                   163.66            129.11            173.25        1000
512                   164.01            128.91            173.51        1000
1024                  175.49            149.47            196.85        1000
2048                  201.98            197.11            209.05        1000
4096                  199.25            188.27            206.72        1000
8192                  231.35            213.33            242.79        1000
16384                 281.05            258.48            295.09         100
32768                 287.17            264.69            300.30         100
65536                 335.47            312.25            350.88         100
131072               1054.46           1040.45           1061.87         100
262144               1111.49           1092.75           1126.90         100
524288               1171.50           1154.84           1179.37         100
1048576              1131.13           1113.67           1140.63         100
2097152              1072.17           1059.14           1081.35         100
4194304              1089.79           1074.28           1102.81         100
8388608              1126.42           1109.37           1138.87         100
16777216             2251.25           2237.05           2263.25         100
33554432             4506.91           4491.54           4516.26         100
67108864             8869.03           8854.05           8876.60         100
