
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      44.20             40.03             46.43        1000
16                     42.68             38.02             45.51        1000
32                     42.64             38.18             45.13        1000
64                     42.77             38.54             44.95        1000
128                    43.24             39.45             44.98        1000
256                    49.36             47.01             51.36        1000
512                    50.23             48.01             52.23        1000
1024                   75.00             70.45             81.79        1000
2048                   83.47             81.26             84.81        1000
4096                  128.83            126.37            132.62        1000
8192                  136.01            132.58            140.72        1000
16384                 143.03            140.17            148.21         100
32768                 145.40            141.23            149.90         100
65536                 163.50            158.05            168.77         100
131072                157.64            155.24            159.96         100
262144                165.05            163.41            167.18         100
524288                179.09            177.42            181.29         100
1048576               195.59            194.34            197.12         100
2097152               227.92            226.12            229.82         100
4194304               290.32            289.00            292.80         100
8388608               414.56            413.32            416.64         100
16777216              832.15            830.58            834.08         100
33554432             1676.92           1675.03           1678.84         100
67108864             3354.24           3352.35           3356.01         100
