
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      33.00             29.59             34.21        1000
16                     32.97             29.55             34.18        1000
32                     33.11             29.59             34.37        1000
64                     33.14             29.68             34.34        1000
128                    33.25             29.76             34.44        1000
256                    35.14             33.87             36.70        1000
512                    36.24             34.62             37.94        1000
1024                   59.80             55.37             65.53        1000
2048                   66.21             65.06             67.74        1000
4096                   93.41             92.33             94.37        1000
8192                  104.16            103.23            105.48        1000
16384                 108.41            106.73            109.78         100
32768                 108.94            106.99            110.39         100
65536                 127.29            124.42            129.69         100
131072                 98.10             96.82             99.35         100
262144                100.80             99.54            102.15         100
524288                102.81            101.39            104.18         100
1048576               109.41            107.97            110.84         100
2097152               123.80            122.27            125.22         100
4194304               151.90            150.24            153.49         100
8388608               204.99            203.76            206.24         100
16777216              412.54            411.05            414.12         100
33554432              835.25            833.93            836.52         100
67108864             1670.07           1668.62           1671.58         100
