
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      33.34             29.73             34.72        1000
16                     32.87             29.26             34.25        1000
32                     32.87             29.28             34.29        1000
64                     32.87             29.20             34.22        1000
128                    33.00             29.42             34.42        1000
256                    35.53             34.22             37.07        1000
512                    35.91             34.54             37.54        1000
1024                   57.68             53.70             63.49        1000
2048                   64.01             62.80             65.18        1000
4096                  102.18            102.02            102.35        1000
8192                  103.75            102.13            105.38        1000
16384                 112.88            112.63            113.20         100
32768                 108.09            105.71            110.86         100
65536                 122.61            121.67            124.12         100
131072                 97.66             96.42             99.04         100
262144                 99.24             97.82            100.69         100
524288                102.48            100.86            104.08         100
1048576               108.76            107.53            109.90         100
2097152               123.43            121.67            125.08         100
4194304               151.87            150.28            153.46         100
8388608               204.62            202.99            206.04         100
16777216              410.49            408.80            412.27         100
33554432              832.63            830.70            834.52         100
67108864             1665.05           1663.42           1666.85         100
