
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     145.95            105.70            155.73        1000
16                    142.21            104.40            149.05        1000
32                    141.72            103.98            149.24        1000
64                    141.68            104.09            149.26        1000
128                   143.36            105.33            151.28        1000
256                   162.54            127.29            172.33        1000
512                   162.77            127.74            172.84        1000
1024                  173.93            149.42            192.58        1000
2048                  203.43            197.81            210.99        1000
4096                  196.20            183.96            204.53        1000
8192                  227.75            211.35            241.12        1000
16384                 277.52            258.89            290.52         100
32768                 284.87            264.25            295.23         100
65536                 304.16            286.14            318.34         100
131072               1032.82           1022.37           1040.74         100
262144               1091.04           1077.19           1100.75         100
524288               1154.08           1140.22           1163.18         100
1048576              1107.88           1097.67           1115.35         100
2097152              1056.09           1047.75           1061.62         100
4194304              1063.68           1051.79           1071.29         100
8388608              1115.85           1105.36           1121.70         100
16777216             2192.35           2184.05           2198.28         100
33554432             4454.19           4443.00           4459.77         100
67108864             8762.39           8751.86           8768.50         100
