
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     132.08             92.77            137.15        1000
16                    131.45             92.33            136.10        1000
32                    131.11             91.92            135.97        1000
64                    130.52             91.73            135.40        1000
128                   131.01             92.02            136.09        1000
256                   146.77            112.63            152.72        1000
512                   147.84            114.89            153.90        1000
1024                  155.63            136.54            170.34        1000
2048                  173.39            157.82            180.89        1000
4096                  171.91            165.59            180.31        1000
8192                  195.15            179.77            206.56        1000
16384                 240.60            223.39            251.16         100
32768                 239.31            219.53            249.19         100
65536                 258.86            239.64            267.93         100
131072                838.04            833.38            842.31         100
262144                845.10            839.73            848.44         100
524288                848.58            843.44            850.59         100
1048576               844.03            840.40            846.89         100
2097152               853.58            848.55            856.30         100
4194304               855.03            848.22            857.61         100
8388608               860.06            852.87            863.84         100
16777216             1719.44           1714.30           1722.55         100
33554432             3411.83           3405.95           3415.62         100
67108864             6800.99           6794.44           6803.78         100
