
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     133.45             93.59            138.38        1000
16                    132.55             92.85            137.41        1000
32                    132.30             92.58            137.11        1000
64                    132.08             92.45            137.47        1000
128                   133.21             93.38            138.25        1000
256                   148.66            119.43            154.43        1000
512                   148.94            122.17            154.74        1000
1024                  156.10            134.28            170.68        1000
2048                  174.23            163.84            182.09        1000
4096                  174.92            165.57            180.49        1000
8192                  196.64            180.92            206.81        1000
16384                 244.33            230.19            251.20         100
32768                 251.72            241.44            260.64         100
65536                 255.42            238.95            265.26         100
131072                859.82            856.41            862.04         100
262144                861.00            857.60            865.42         100
524288                859.41            854.36            861.95         100
1048576               862.91            857.15            867.04         100
2097152               871.67            865.44            874.52         100
4194304               874.09            867.39            877.87         100
8388608               878.57            873.59            880.90         100
16777216             1752.10           1747.61           1754.33         100
33554432             3485.49           3477.93           3489.21         100
67108864             6942.98           6935.68           6947.28         100
