
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     145.50            107.92            153.29        1000
16                    143.49            106.26            151.18        1000
32                    144.07            106.40            152.10        1000
64                    143.84            106.60            151.58        1000
128                   145.23            107.43            153.09        1000
256                   165.56            125.20            173.57        1000
512                   166.73            127.62            175.89        1000
1024                  175.89            153.12            194.17        1000
2048                  202.93            194.89            209.21        1000
4096                  196.83            185.60            204.41        1000
8192                  228.92            212.12            238.75        1000
16384                 279.09            258.75            288.53         100
32768                 286.42            265.60            297.10         100
65536                 303.54            278.74            314.20         100
131072               1045.82           1037.97           1054.54         100
262144               1104.61           1090.11           1122.93         100
524288               1161.89           1147.59           1177.33         100
1048576              1113.11           1104.76           1120.74         100
2097152              1069.14           1056.41           1079.16         100
4194304              1075.70           1067.47           1085.49         100
8388608              1117.44           1099.79           1132.05         100
16777216             2246.55           2236.02           2254.59         100
33554432             4410.92           4401.41           4418.58         100
67108864             8876.42           8864.69           8885.38         100
