
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     147.15            107.53            156.92        1000
16                    146.11            106.62            156.59        1000
32                    145.11            105.56            154.90        1000
64                    144.74            105.70            154.84        1000
128                   146.87            106.95            156.26        1000
256                   163.18            122.83            173.43        1000
512                   162.87            123.80            172.75        1000
1024                  173.77            146.20            193.14        1000
2048                  204.01            198.68            214.16        1000
4096                  199.18            188.35            206.84        1000
8192                  232.20            216.60            243.64        1000
16384                 279.53            262.14            298.35         100
32768                 285.02            267.46            301.96         100
65536                 305.42            289.51            323.42         100
131072               1057.80           1049.18           1075.00         100
262144               1113.05           1102.91           1132.76         100
524288               1200.13           1179.30           1237.50         100
1048576              1155.79           1140.70           1180.06         100
2097152              1083.52           1071.26           1098.75         100
4194304              1192.00           1180.51           1207.85         100
8388608              1134.39           1118.77           1154.02         100
16777216             2223.62           2214.79           2238.96         100
33554432             4468.55           4457.48           4482.97         100
67108864             8980.11           8968.60           8995.73         100
