
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.38
16                      9.11
32                     10.43
64                     10.08
128                    17.88
256                    11.34
512                    18.02
1024                   20.24
2048                   22.09
4096                   27.00
8192                   31.04
16384                  37.40
32768                  51.78
65536                  68.42
131072                121.70
262144                138.49
524288                244.82
1048576               708.73
2097152              1989.46
4194304              5140.21
8388608             11657.31
16777216            25159.48
33554432            53652.06
67108864           109553.02
