
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      10.67
16                      9.99
32                      9.70
64                     16.72
128                    10.99
256                    13.42
512                    18.57
1024                   26.30
2048                   22.01
4096                   24.09
8192                   37.26
16384                  39.10
32768                  51.73
65536                  75.02
131072                 94.26
262144                140.78
524288                241.27
1048576               601.04
2097152              2041.21
4194304              5180.05
8388608             11602.78
16777216            24860.11
33554432            54825.98
67108864           108054.43
