
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      13.40
16                      9.40
32                      9.46
64                     10.37
128                    10.84
256                    11.85
512                    18.12
1024                   21.25
2048                   21.10
4096                   23.74
8192                   33.58
16384                  37.95
32768                  51.34
65536                  69.83
131072                143.84
262144                141.44
524288                250.63
1048576               610.25
2097152              2035.02
4194304              5176.05
8388608             11641.54
16777216            24749.37
33554432            53889.38
67108864           109820.43
