
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.14
16                      9.76
32                      9.78
64                     10.32
128                    10.72
256                    11.82
512                    26.06
1024                   20.90
2048                   21.48
4096                   28.17
8192                   30.14
16384                  38.06
32768                  51.41
65536                  68.44
131072                 93.04
262144                211.04
524288                240.06
1048576               615.29
2097152              2014.93
4194304              5227.50
8388608             11588.21
16777216            24656.35
33554432            54128.50
67108864           111162.20
