
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.93
16                     10.05
32                      9.91
64                     11.41
128                    11.34
256                    12.50
512                    21.73
1024                   23.83
2048                   25.65
4096                   28.62
8192                   36.71
16384                  57.33
32768                 102.32
65536                  63.82
131072                 88.91
262144                206.62
524288                227.67
1048576               586.30
2097152              1937.80
4194304              4922.69
8388608             12388.77
16777216            24263.01
33554432            50201.50
67108864           101906.90
