
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.68
16                      9.47
32                      9.52
64                     17.55
128                    10.28
256                    11.18
512                    18.13
1024                   20.65
2048                   24.01
4096                   24.61
8192                   38.57
16384                  39.38
32768                  50.19
65536                  67.98
131072                 93.61
262144                147.92
524288                233.55
1048576               616.15
2097152              2125.59
4194304              5255.99
8388608             11644.96
16777216            24794.21
33554432            53819.61
67108864           109326.75
