
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.85
16                     10.35
32                     10.13
64                     17.18
128                    11.26
256                    11.66
512                    21.27
1024                   25.03
2048                   24.54
4096                   31.30
8192                   68.04
16384                  54.46
32768                 102.22
65536                  66.90
131072                 87.04
262144                130.44
524288                226.80
1048576               633.74
2097152              2140.65
4194304              5107.82
8388608             11678.40
16777216            24153.75
33554432            50496.81
67108864           100669.15
