
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      47.24
16                     19.56
32                     10.15
64                     10.18
128                    11.27
256                    11.28
512                    25.33
1024                   20.78
2048                   21.70
4096                   31.26
8192                   30.84
16384                  37.98
32768                  53.50
65536                  68.40
131072                 92.00
262144                141.42
524288                244.50
1048576               661.82
2097152              1958.72
4194304              5237.87
8388608             11667.61
16777216            24701.03
33554432            55079.07
67108864           109638.71
