
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.50
16                      9.48
32                      9.85
64                     10.08
128                    10.75
256                    12.51
512                    18.16
1024                   20.17
2048                   29.74
4096                   23.89
8192                   36.91
16384                  38.59
32768                  56.77
65536                  69.25
131072                 93.43
262144                140.23
524288                238.00
1048576               728.98
2097152              2164.16
4194304              5772.87
8388608             11783.16
16777216            24709.57
33554432            54255.71
67108864           108926.92
