
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.57
16                      9.77
32                     18.16
64                     10.72
128                    10.95
256                    11.68
512                    22.42
1024                   24.14
2048                   25.23
4096                   29.29
8192                   37.75
16384                  56.23
32768                 101.93
65536                  64.59
131072                 90.04
262144                136.30
524288                248.64
1048576               620.07
2097152              2051.57
4194304              5205.88
8388608             11822.91
16777216            24299.55
33554432            50194.69
67108864           100806.19
