
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.46
16                     12.55
32                     10.05
64                     10.34
128                    10.84
256                    11.73
512                    18.21
1024                   20.25
2048                   21.33
4096                   25.01
8192                   31.09
16384                  37.91
32768                 127.36
65536                 107.17
131072                 93.26
262144                136.65
524288                240.52
1048576               710.00
2097152              2085.23
4194304              5334.40
8388608             11721.82
16777216            24657.92
33554432            54327.40
67108864           109168.12
