
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.79
16                     10.70
32                      9.98
64                     10.58
128                    11.12
256                    14.80
512                    21.78
1024                   24.24
2048                   25.74
4096                   28.91
8192                   37.04
16384                  53.74
32768                 120.75
65536                  65.14
131072                 88.43
262144                130.30
524288                224.19
1048576               635.53
2097152              2054.57
4194304              5214.18
8388608             11529.38
16777216            24917.64
33554432            50327.12
67108864           100885.64
