
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      11.74
16                     10.53
32                     10.41
64                     10.60
128                    11.18
256                    11.72
512                    23.75
1024                   24.22
2048                   25.30
4096                   37.15
8192                   36.75
16384                  56.03
32768                 102.89
65536                  65.03
131072                 88.15
262144                137.74
524288                227.98
1048576               674.46
2097152              2049.05
4194304              5119.25
8388608             11778.38
16777216            24242.80
33554432            50464.48
67108864           100765.50
