
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      16.05
16                      9.21
32                     12.69
64                     10.23
128                    10.87
256                    18.73
512                    18.75
1024                   20.20
2048                   21.65
4096                   24.42
8192                   32.31
16384                  38.09
32768                  50.52
65536                  67.76
131072                 94.69
262144                137.15
524288                239.94
1048576               637.78
2097152              2042.81
4194304              5355.85
8388608             11689.75
16777216            25276.15
33554432            54286.74
67108864           109080.61
