
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.70
16                      1.70
32                      1.68
64                      1.79
128                     2.14
256                     2.17
512                     2.80
1024                    3.34
2048                    4.41
4096                    6.84
8192                   12.64
16384                  22.56
32768                  46.33
65536                 125.29
131072                182.65
262144                366.13
524288                818.47
1048576              1650.90
2097152              3542.06
4194304              7210.03
8388608             14608.70
16777216            29109.55
33554432            58382.39
67108864           116489.59
