
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.87
16                      5.79
32                      5.84
64                      5.84
128                     5.97
256                     9.28
512                     7.92
1024                    7.15
2048                    9.95
4096                   13.57
8192                   15.27
16384                  20.49
32768                  31.10
65536                  49.68
131072                 83.15
262144                211.08
524288                434.09
1048576              1254.33
2097152              3244.26
4194304              7337.61
8388608             15517.65
16777216            32072.99
33554432            65785.96
67108864           133635.14
