
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       7.38
16                      5.67
32                      5.70
64                      5.94
128                     5.94
256                     6.07
512                    10.21
1024                    7.09
2048                    8.28
4096                   13.42
8192                   16.56
16384                  20.06
32768                  30.50
65536                  48.34
131072                 89.06
262144                196.17
524288                420.85
1048576              1301.40
2097152              3212.77
4194304              7473.10
8388608             15492.60
16777216            32123.53
33554432            65831.97
67108864           133948.21
