
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.81
16                      1.69
32                      1.73
64                      1.98
128                     2.02
256                     2.21
512                     2.64
1024                    3.30
2048                    4.56
4096                    6.87
8192                   11.50
16384                  22.96
32768                  48.69
65536                  92.89
131072                224.41
262144                392.46
524288                806.49
1048576              1582.24
2097152              3548.18
4194304              7307.95
8388608             14695.42
16777216            29269.19
33554432            58442.31
67108864           116916.77
