
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.85
16                      6.22
32                      5.85
64                      5.89
128                     7.19
256                     6.02
512                     9.26
1024                    7.19
2048                    8.33
4096                   13.53
8192                   17.35
16384                  20.41
32768                  31.03
65536                  53.23
131072                 83.50
262144                190.94
524288                407.24
1048576              1267.94
2097152              3254.24
4194304              7439.62
8388608             15576.50
16777216            32120.15
33554432            65721.90
67108864           133803.16
