
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.73
16                      2.00
32                      1.72
64                      1.98
128                     1.99
256                     2.54
512                     2.62
1024                    6.36
2048                    4.50
4096                    6.93
8192                   11.45
16384                  38.44
32768                  46.39
65536                  94.88
131072                185.18
262144                406.14
524288                774.05
1048576              1639.63
2097152              3601.28
4194304              7330.70
8388608             14889.16
16777216            29696.38
33554432            59445.32
67108864           120067.45
