
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.99
16                      1.68
32                      1.86
64                      1.93
128                     1.99
256                     2.48
512                     2.87
1024                    3.68
2048                    4.69
4096                    7.18
8192                   12.06
16384                  23.11
32768                  49.24
65536                  96.64
131072                226.02
262144                382.59
524288                830.78
1048576              1717.46
2097152              3803.86
4194304              7738.22
8388608             15591.49
16777216            31194.55
33554432            62489.37
67108864           125340.48
