
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      10.09
16                      5.97
32                      5.72
64                      5.72
128                     5.76
256                     6.17
512                     6.54
1024                    7.19
2048                    8.19
4096                   13.39
8192                   15.03
16384                  20.28
32768                  31.16
65536                  48.10
131072                 89.18
262144                159.83
524288                438.39
1048576              1251.15
2097152              3209.18
4194304              7416.69
8388608             15536.46
16777216            32105.10
33554432            65865.75
67108864           134077.32
