
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.02
16                      2.03
32                      4.94
64                      1.88
128                     2.32
256                     2.31
512                     3.25
1024                    3.46
2048                    4.75
4096                    7.18
8192                   11.86
16384                  22.64
32768                  76.50
65536                 106.10
131072                193.79
262144                424.16
524288                870.60
1048576              1760.69
2097152              3819.09
4194304              7750.90
8388608             15618.53
16777216            31134.11
33554432            62221.55
67108864           124375.43
