
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.76
16                      5.73
32                      5.72
64                      5.75
128                     6.67
256                     6.23
512                     9.42
1024                    7.14
2048                    8.30
4096                   13.80
8192                   16.16
16384                  21.29
32768                  31.50
65536                  71.44
131072                 89.97
262144                185.58
524288                404.46
1048576              1237.30
2097152              3243.19
4194304              7544.20
8388608             15501.29
16777216            32065.34
33554432            65763.31
67108864           133662.57
