
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.81
16                      1.79
32                      3.83
64                      2.08
128                     2.14
256                     2.41
512                     3.03
1024                    3.39
2048                    4.68
4096                    7.10
8192                   11.78
16384                  22.92
32768                  48.07
65536                  99.64
131072                225.77
262144                428.89
524288                858.52
1048576              1693.92
2097152              3784.83
4194304              7802.64
8388608             15789.70
16777216            31534.86
33554432            62774.91
67108864           124501.97
