
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.84
16                      6.80
32                      5.85
64                      5.96
128                     6.19
256                     6.19
512                     6.51
1024                    7.13
2048                    8.27
4096                   13.47
8192                   17.85
16384                  20.29
32768                  31.35
65536                  47.77
131072                 83.86
262144                156.76
524288                408.62
1048576              1284.81
2097152              3284.62
4194304              7486.41
8388608             15658.52
16777216            32184.44
33554432            65735.08
67108864           133834.59
