
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.16
16                      1.89
32                      1.74
64                      1.84
128                     1.98
256                     2.14
512                     2.71
1024                    3.60
2048                    4.40
4096                    6.92
8192                   11.52
16384                  22.75
32768                  46.08
65536                  96.31
131072                186.06
262144                416.53
524288                836.04
1048576              1616.59
2097152              3611.08
4194304              7379.41
8388608             14800.27
16777216            29412.65
33554432            58604.23
67108864           116973.15
