
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.81
16                      1.69
32                      1.79
64                      1.82
128                     1.99
256                     3.76
512                     2.71
1024                    3.24
2048                    4.43
4096                    6.88
8192                   11.36
16384                  22.61
32768                  77.56
65536                  92.54
131072                218.89
262144                391.95
524288                803.42
1048576              1586.61
2097152              3541.78
4194304              7274.73
8388608             14699.59
16777216            29379.66
33554432            58816.66
67108864           117564.60
