
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.82
16                     28.87
32                     29.58
64                     29.13
128                    33.83
256                    36.74
512                    37.78
1024                   40.93
2048                   48.50
4096                   72.39
8192                  139.03
16384                 231.87
32768                 424.09
65536                1133.59
131072               2170.73
262144               4294.87
524288               8561.20
1048576             17577.40
2097152             36785.43
4194304             76620.34
8388608            156134.31
16777216           306873.71
33554432           623100.92
67108864          1249028.44
