
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      30.76
16                     28.59
32                     28.61
64                     28.86
128                    33.50
256                    36.46
512                    37.30
1024                   40.04
2048                   50.01
4096                   70.81
8192                  135.91
16384                 233.89
32768                 428.37
65536                1160.60
131072               2192.59
262144               4281.84
524288               8543.52
1048576             17616.75
2097152             36797.25
4194304             76701.10
8388608            156404.51
16777216           307247.94
33554432           622167.22
67108864          1247088.07
