
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.18
16                     23.19
32                     23.18
64                     23.34
128                    24.45
256                    30.23
512                    31.55
1024                   39.07
2048                   69.15
4096                  125.84
8192                  265.07
16384                 552.86
32768                1077.25
65536                2067.43
131072               4157.49
262144               4291.40
524288               8479.72
1048576             17377.36
2097152             36341.77
4194304             75735.14
8388608            154969.46
16777216           303185.14
33554432           654585.10
67108864          1313319.98
