
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.21
16                     23.22
32                     23.20
64                     23.34
128                    24.50
256                    31.26
512                    31.53
1024                   39.44
2048                   69.90
4096                  126.41
8192                  264.74
16384                 565.48
32768                1084.95
65536                2066.93
131072               4150.71
262144               4234.53
524288               8469.09
1048576             17372.63
2097152             36261.82
4194304             75313.47
8388608            154929.58
16777216           303329.14
33554432           652541.67
67108864          1307886.48
