
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.48
16                     29.46
32                     29.58
64                     29.80
128                    34.28
256                    37.22
512                    38.12
1024                   41.08
2048                   49.01
4096                   73.91
8192                  139.40
16384                 230.06
32768                 417.94
65536                1129.68
131072               2169.51
262144               4299.62
524288               8552.69
1048576             17626.26
2097152             37028.33
4194304             77458.07
8388608            157542.84
16777216           306787.35
33554432           621518.89
67108864          1250127.08
