
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.61
16                     28.61
32                     28.62
64                     28.92
128                    33.53
256                    36.69
512                    37.46
1024                   40.19
2048                   48.44
4096                   69.40
8192                  139.01
16384                 226.78
32768                 426.39
65536                1118.13
131072               2149.57
262144               4261.05
524288               8543.21
1048576             17584.69
2097152             36929.59
4194304             76853.25
8388608            156715.97
16777216           306426.94
33554432           621940.37
67108864          1246685.88
