
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.27
16                     23.30
32                     23.36
64                     23.52
128                    24.64
256                    30.32
512                    31.80
1024                   39.32
2048                   71.85
4096                  126.20
8192                  266.15
16384                 551.78
32768                1044.74
65536                2048.66
131072               4113.40
262144               4237.44
524288               8444.46
1048576             17336.48
2097152             36241.69
4194304             75522.54
8388608            153924.21
16777216           301868.21
33554432           651722.77
67108864          1306536.46
